English,Portuguese
previously,anteriormente
participate,participar
danger,perigo
gold,ouro
occasion,ocasião
square,quadrado
leadership,Liderança
gift,Presente
mobile,Móvel
shoe,sapato
border,fronteira
label,etiqueta
load,carga
prison,prisão
wood,Madeira
ad,de Anúncios
suitable,adequado
internal,interno
west,Oeste
affair,caso
cup,copo
outcome,resultado
discount,desconto
ignore,ignorar
suspect,suspeito
citizen,cidadão
definition,definição
arrest,prender prisão
largely,largamente
desk,escrivaninha
destroy,destruir
hall,corredor
investigate,investigar
familiar,familiar
loan,empréstimo
remind,lembrar
explore,explorar
tea,chá
index,índice
recommendation,recomendação
complain,reclamar
hi,Oi
poll,votação
wed,Casar
escape,fuga
switch,chave
fairly,com justiça
lovely,amável
permit,permitir
dad,Papai
import,importar
association,Associação
bright,brilhante
predict,prever
division,divisão
debt,dívida
shout,gritar
device,dispositivo
wake,acordar
proper,apropriado
definitely,com certeza
analyze,analisar
necessarily,necessariamente
victim,vítima
commission,comissão
amaze,surpreender
employment,emprego
combination,combinação
conservative,conservador
guarantee,garantia
rank,classificação
protection,proteção
mouse,mouse
nevertheless,mesmo assim
abuse,Abuso
researcher,investigador
yield,colheita
root,raiz
secure,seguro
elect,eleger
chain,cadeia
forest,floresta
arise,surgir
confidence,confiança
frame,quadro
shot,tomada
identity,identidade
afford,dispor
birth,aniversário
tie,amarrar
brand,marca
instrument,instrumento
hole,buraco
grade,grau
threaten,ameaçar
hire,contratar
moral,moral
phase,Estágio
latter,último
typical,típica
approve,aprovar
strongly,fortemente
factory,fábrica
channel,canal
judgment,julgamento
proportion,proporção
concentration,concentração
resident,residente
empty,vazio
opposition,oposição
selection,seleção
entirely,inteiramente
session,sessão
sexual,sexual
ice,gelo
master,mestre
narrow,estreito
graduate,diplomado
increasingly,cada vez mais
insist,insistir
license,licença
bridge,Ponte
concentrate,concentrado
plenty,bastante
entry,entrada
reduction,redução
farmer,agricultor
respectively,respectivamente
notion,noção
rent,renda
odd,ímpar
appearance,aparência
musical,musical
bore,calibre
faithfully,fielmente
reasonable,razoável
rely,contar com
presidential,presidencial
sequence,seqüência
soft,suave
stretch,alongamento
considerable,considerável
fuel,combustível
atmosphere,atmosfera
bottle,garrafa
unique,único
practical,prático
presentation,apresentação
theme,tema
hell,inferno
lock,trancar
prior,prévio
secondly,Em segundo lugar
peak,pico
mechanism,mecanismo
explanation,explicação
mail,correspondência
nowadays,nos dias de hoje
native,nativo
succeed,ter sucesso
cast,elencar
wild,selvagem
folk,folk
ear,orelha
intelligence,inteligência
sheet,Folha
journey,jornada
tiny,muito pequeno
terrible,Terrível
online,conectados
multiple,múltiplo
declare,declarar
engine,motor
chairman,presidente
besides,além do mais
mental,mental
specifically,especificamente
relief,alívio
professor,professor
yard,Jardim
celebrate,comemoro
personality,personalidade
construct,construir
joint,articulação
row,fileira
via,através da
capture,capturar
justice,justiça
constant,constante
youth,Juventude
coast,costa
expectation,expectativa
witness,testemunha
blame,culpa
tone,tom
seriously,a sério
honor,honra
ourselves,nós mesmos
electronic,eletrônico
dealer,distribuidor
disk,disco
northern,norte
chemical,químico
somehow,de alguma maneira
hill,Colina
sky,céu
fruit,fruta
fellow,amigo
guard,guarda
vision,visão
impose,impor
reserve,reserva
chart,gráfico
surely,certamente
thin,afinar
minimum,mínimo
variation,variação
formal,formal
frequently,freqüentemente
verb,verbo
acquisition,aquisição
retire,se aposentar
recover,recuperar
seed,semente
tip,gorjeta
instruction,instrução
mission,missão
absence,ausência
fat,gordura
east,leste
derive,derivar
ordinary,comum
critic,crítico
helpful,útil
gene,gene
anywhere,qualquer lugar
lean,magro
glance,olhar
ideal,ideal
neighborhood,vizinhança
smell,cheiro
silence,silêncio
disappear,desaparecer
lip,lábio
cat,gato
passenger,passageiro
compete,competir
representation,representação
rush,correr
shut,fechar
disorder,transtorno
maximum,máximo
complaint,reclamação
careful,cuidadoso
column,coluna
religion,religião
legislation,legislação
employer,Empregador
widely,largamente
protest,protesto
ancient,antigo
illustrate,ilustrar
faith,fé
observation,observação
command,comando
reject,rejeitar
imply,implicar
ban,banimento
implement,implemento
approximately,aproximadamente
qualify,qualificar
somewhat,de alguma forma
regional,regional
assumption,suposição
temporary,temporário
attractive,atraente
plate,placa
sad,triste
frequency,frequência
weak,fraco
slip,escorregar
victory,vitória
circle,círculo
academic,Acadêmico
joke,Piada
county,município
hat,chapéu
steal,roubar
dozen,dúzia
kick,pontapé
unable,incapaz
settlement,assentamento
accommodation,alojamento
symptom,sintoma
reporter,repórter
household,doméstico
tennis,tênis
merely,apenas
emotion,emoção
tall,alto
sick,doente
calculate,calcular
scientific,científico
accuse,acusar
criminal,Criminoso
estate,Estado
unlike,diferente
underlie,subjacente
interpretation,interpretação
corporation,corporação
criterion,critério
appoint,nomear
enemy,inimigo
beside,ao lado
firstly,em primeiro lugar
assistant,assistente
sweet,doce
competitive,competitivo
consistent,consistente
closely,de perto
equally,igualmente
advise,Conselho
liberal,liberal
meanwhile,Enquanto isso
impression,impressão
existence,existência
exhibition,exibição
accompany,acompanhar
output,saída
salary,salário
attach,anexar
acknowledge,reconhecer
snow,neve
properly,devidamente
breast,seio
prime,melhor
ill,doente
reward,recompensa
bother,irmão
primarily,principalmente
gray,cinzento
childhood,infância
expose,expor
everywhere,em toda parte
intention,intenção
discipline,disciplina
medicine,remédio
input,entrada
differ,diferem
politician,político
wage,remuneração
implication,implicação
substantial,substancial
adviser,conselheiro
permanent,permanente
infant,infantil
rare,cru
angry,nervoso
remark,observação
alive,vivo
injury,prejuízo
pocket,bolso
knock,bater
producer,produtor
currency,moeda
manufacturer,fabricante
king,Rei
obligation,obrigação
initiative,iniciativa
talent,talento
breakfast,café da manhã
resolution,resolução
emotional,emocional
enhance,realçar
core,testemunho
framework,estrutura
phrase,frase
gap,Gap = Vão
southern,sulista
storm,tempestade
undertake,empreender
distinguish,distinguir
priority,prioridade
draft,rascunho
democracy,democracia
pursue,perseguir
urge,impulso
pilot,piloto
shirt,camisa
coat,casaco
lake,Lago
habit,hábito
emphasize,enfatizar
neck,pescoço
immediate,imediato
yellow,amarelo
sir,senhor
communicate,comunicar
breathe,respirar
vast,grande
origin,origem
stable,estábulo
enormous,enorme
negotiation,negociação
resolve,resolver
terrorist,terrorista
bloody,sangrento
retain,reter
bone,osso
mathematics,matemática
supplier,fornecedor
milk,leite
panel,painel
passage,passagem
fundamental,fundamental
pupil,aluno
publication,publicação
winner,vencedora
gentleman,cavalheiro
elsewhere,em outro lugar
examination,exame
soul,alma
forth,para frente
urban,urbano
contemporary,contemporâneo
incident,incidente
integrate,integrar
swing,balanço
ratio,Razão
borrow,pedir emprestado
sufficient,suficiente
motion,movimento
exam,exame
boss,patrão
governor,governador
effectively,efetivamente
diet,dieta
install,instalar
premise,premissa
abroad,fora do país
hence,portanto
metal,metal
convention,convenção
layer,camada
typically,tipicamente
grateful,grato
crash,batida
incorporate,incorporar
formation,formação
classic,clássico
aircraft,Aeronaves
sharp,afiado
highlight,realçar
climate,clima
disappoint,desapontar
defeat,derrota
retirement,aposentadoria
defend,defender
truly,verdadeiramente
self,auto
clinical,clínico
nearby,próximo
distribute,distribuir
reputation,reputação
creation,criação
exclude,excluir
exhibit,Exibir
specify,especificamos
extreme,extremo
appointment,compromisso
slide,deslizar
lucky,por sorte
brown,marrom
journalist,jornalista
occupy,ocupar
soil,solo
educational,educacional
upper,superior
correspond,corresponder
sudden,repentino
tooth,dente
freeze,congelar
gay,gay.
plastic,plástico
peer,par
exception,exceção
bet,aposta
excuse,com licença
plain,plano
crop,colheita
rural,rural
equivalent,equivalente
dish,prato
complicate,complicar
meat,eu no
collapse,colapso
luck,sorte
enterprise,empreendimento
update,atualizar
restrict,restringir
subsequent,subseqüente
perfectly,perfeitamente
originally,originalmente
invitation,convite
thick,espesso
encounter,encontro
proud,orgulhoso
chip,lasca
analyst,analista
valuable,de valor
bike,bicicleta
retail,retalho
calm,calma
unusual,incomum
criticism,crítica
personally,pessoalmente
beauty,beleza
plot,enredo
preserve,preservar
emergency,emergência
comfort,conforto
deserve,merecer
repair,reparar
severe,forte
recognition,reconhecimento
secondary,secundário
proof,prova
capable,capaz
outline,contorno
depression,depressão
evaluate,Avalie
pension,pensão
external,externo
cope,lidar
emphasis,ênfase
restriction,restrição
partly,parcialmente
aside,"a parte, de lado"
massive,maciço
intellectual,intelectual
minority,minoria
revolution,revolução
submit,enviar
prospect,perspectiva
equation,equação
unemployment,desemprego
intervention,intervenção
delight,prazer
mom,mãe
smart,inteligente
illness,doença
anymore,não mais
numerous,numerosos
abandon,abandono
confuse,confundir
wheel,roda
trace,vestígio
crucial,crucial
split,dividir
efficient,eficiente
dominate,dominar
database,base de dados
drama,drama
isolate,isolar
nose,nariz
port,porta
spell,feitiço
rapidly,rapidamente
dispute,disputa
landscape,paisagem
inch,polegada
ultimately,em última análise
phenomenon,fenômeno
profile,perfil
entertainment,entretenimento
assistance,assistência
boundary,fronteira
gender,Gênero sexual
dramatic,dramático
educate,educar
edition,edição
wing,ASA
achievement,realização
similarly,similarmente
specialist,especialista
formula,Fórmula
innovation,inovação
festival,festival
coverage,cobertura
gate,portão
pitch,tom
unknown,desconhecido
slight,pouco
distinction,distinção
roof,cobertura
scream,gritar
convert,converter
minor,menor
negotiate,negociar
pollution,poluição
era,era
episode,episódio
volunteer,voluntário
infection,infecção
preparation,preparação
arrival,chegada
silver,prata
electricity,eletricidade
unlikely,improvável
sink,Pia
grand,grande
web,rede
upset,chateado
transition,transição
forecast,previsão
eliminate,eliminar
agenda,agenda
prize,prêmio
wire,fio
crack,rachadura
deeply,profundamente
cable,cabo
pub,bar
apparent,aparente
zone,zona
fault,falta
characterize,caracterizar
everyday,todo dia
honest,honesto
supporter,torcedor
inspire,inspirar
whisper,sussurrar
hunt,caçar
welfare,bem-estar
toy,brinquedo
cloud,nuvem
perceive,perceber
constraint,restrição
ease,facilidade
solid,sólido
prisoner,prisioneiro
expansion,expansão
agricultural,agrícola
virtually,virtualmente
album,álbum
knee,joelho
bend,dobrar
exposure,exposição
alter,alterar
pour,derramar
digital,digital
satisfaction,satisfação
tension,tensão
wet,molhado
perception,percepção
dimension,dimensão
beer,Cerveja
tight,justa
restore,restaurar
sweep,varrer
interpret,interpretar
anger,raiva
crew,equipe técnica
assist,ajudar
essay,ensaio
assure,assegurar
deposit,depósito
string,corda
shower,banho
elderly,idoso
extensive,extenso
truck,caminhão
uniform,uniforme
mood,humor
detect,detectar
shadow,sombra
beneath,abaixo
territory,território
mode,modo
trail,trilha
sensitive,confidencial
nervous,nervoso
sail,velejar
parallel,paralelo
hero,herói
competitor,concorrente
initially,inicialmente
transform,transformar
stream,Stream
breed,raça
vital,vital
attribute,atributo
awful,horrível
devote,dedicar
stem,tronco
height,altura
apologize,peça desculpas
owe,dever
alright,tudo bem
genetic,genético
persuade,persuadir
vice,vice
recruit,recrutar
steady,estável
heavily,fortemente
entrance,Entrada
furniture,mobília
strain,tensão
random,aleatória
justify,justificar
rarely,raramente
measurement,medição
meter,metro
pace,ritmo
western,ocidental
constitute,constituir
spare,poupar
designer,Designer.
mature,maduro
evil,mal
guilty,culpado
curve,curva
jacket,Jaqueta
false,falso
demonstration,demonstração
wound,ferida
frighten,amedrontar
muscle,músculo
scare,susto
grass,Relva
substance,substância
pink,cor de rosa
symbol,símbolo
foundation,Fundação
tank,tanque
cite,citar
extension,extensão
disaster,desastre
sigh,suspirar
routine,rotina
cake,bolo
efficiency,eficiência
membership,Filiação
smooth,suave
portion,parte
mirror,espelho
tune,afinação
withdraw,retirar o
resort,recorrer
resistance,resistência
giant,gigante
bid,oferta
boot,Bota
naturally,naturalmente
summary,resumo
radical,radical
van,furgão
mutual,mútuo
entitle,direito de
fascinate,fascinar
god,Deus
singer,cantor
broadcast,transmissão
apartment,apartamento
platform,plataforma
whenever,sempre que
conventional,convencional
independence,independência
loose,solto
reverse,marcha ré
illustration,ilustração
loud,alto
quantity,quantidade
poem,poema
damn,droga
pose,pose
depth,profundidade
significance,significado
planet,planeta
iron,ferro
gradually,gradualmente
approval,aprovação
evaluation,avaliação
wealth,fortuna
visual,visual
consult,consultar
sponsor,patrocinador
badly,seriamente
trap,armadilha
stupid,estúpido
adjust,ajustar
log,registro
crazy,louco
dirty,sujo
hesitate,hesitar
gaze,olhar
creative,criativo
button,botão
extraordinary,extraordinário
establishment,estabelecimento
constantly,constantemente
alcohol,álcool
throat,garganta
probability,probabilidade
vegetable,vegetal
remarkable,notável
dependent,dependente
steel,aço
strip,faixa
sustain,sustentar
ally,aliado
ethnic,étnico
pleasant,prazeroso
exceed,ultrapassarem
sugar,açúcar
historian,historiador
brilliant,brilhante
involvement,envolvimento
edit,editar
philosophy,filosofia
hypothesis,hipótese
bread,pão
drag,arrastar
inner,interno
statistic,estatística
liability,responsabilidade
anticipate,antecipar
league,liga
seal,foca
flood,enchente
grab,pegar
compensation,compensação
compound,composto
segment,segmento
occasionally,ocasionalmente
spin,rodar
desert,deserto
operator,operador
tower,torre
newly,recentemente
paragraph,parágrafo
advocate,advogado
bath,banho de banheira
blind,cego
confident,confiante
overcome,superar
regularly,regularmente
briefly,brevemente
pure,puro
counsel,conselho
disturb,perturbar
silent,silencioso
burden,fardo
behave,comporte-se
tap,toque
valley,vale
alarm,alarme
fantastic,fantástico
preference,preferência
discovery,descoberta
dare,Atreva-se
skirt,saia
eastern,Oriental
cigarette,cigarro
poverty,pobreza
registration,cadastro
offense,ofensa
cousin,prima
criticize,criticar
bowl,tigela
clause,cláusula
impress,impressionar
jury,júri
venture,risco
virus,vírus
anxiety,ansiedade
wrap,enrolar
illegal,ilegal
harm,ferir
overseas,em outro continente
survival,sobrevivência
teenager,adolescente
specialize,Especializar-se
moderate,moderado
limitation,limitação
modify,modificar
accurate,preciso
chest,peito
angle,ângulo
comprehensive,compreensivo
rival,rival
universal,universal
adequate,adequado
tube,tubo
expenditure,despesa
tourism,turismo
mount,montar
recovery,recuperação
margin,margem
mate,amigo
admire,admirar
gesture,gesto
stair,escada
charm,charme
musician,músico
rapid,rápido
slave,escravo
amendment,Alteração.
format,formato
incentive,incentivo
consultant,consultor
deficit,déficit
mortgage,hipoteca
abstract,resumo
dig,escavação
literary,literário
experimental,experimental
architecture,arquitetura
possess,possuir
opponent,oponente
keen,ansioso
evolution,evolução
versus,contra
burst,explodido
lend,emprestar
custom,personalizadas
translate,traduzir
cough,tosse
distinct,distinto
rough,rude
surgery,cirurgia
buyer,comprador
pen,caneta
quietly,silenciosamente
laboratory,laboratório
capability,capacidade
province,província
twin,gêmeo
chicken,frango
mess,bagunça
adapt,adaptar
scholar,estudioso
mad,louco
precisely,precisamente
therapy,terapia
frequent,freqüente
wealthy,próspero
journal,Diário
composition,composição
tissue,tecido
stroke,acidente vascular encefálico
flash,instantâneo
champion,campeão
sand,areia
promotion,promoção
charity,caridade
bury,enterrar
tendency,tendência
barrier,barreira
cream,creme
rid,livrar
brush,escovar
dialog,diálogo
publisher,editor
consequently,consequentemente
democratic,democrático
hurry,pressa
exact,exato
abortion,aborto
govern,governo
creature,criatura
whilst,enquanto
privilege,privilégio
dismiss,liberar
cap,boné
participation,participação
visible,visível
twist,torção
narrative,narrativa
classical,clássico
assign,atribuir
regret,arrepender
motor,motor
impressive,impressionante
prompt,mensagem
ruin,ruína
density,densidade
resist,resistir
rescue,resgatar
coal,carvão
implementation,implementação
lecture,palestra
awareness,consciência
maintenance,manutenção
inflation,inflação
greatly,muito
successfully,com sucesso
psychological,psicológico
institutional,institucional
dust,pó
cancel,cancelar
functional,funcional
scope,alcance
species,espécies
float,flutuador
absolute,absoluto
passion,paixão
airline,CIA aérea
motivate,motivar
module,módulo
fold,dobrar
theoretical,teórico
react,reagir
wooden,de madeira
poet,poeta
counter,balcão
insight,discernimento
partnership,parceria
stain,mancha
sake,interesse
automatically,automaticamente
penalty,pena
rail,trilho
salt,sal
contest,concurso
violent,violento
bin,bin
aggressive,agressivo
pale,pálido
opera,ópera
undergo,submeter-se a
embrace,abraçar
pile,pilha
divorce,divórcio
march,marchar
acceptable,aceitável
literally,literalmente
permission,permissão
allege,alega
grammar,gramática
regulate,regular
cluster,grupo
compromise,compromisso
historic,histórico
diversity,diversidade
immigrant,imigrante
gallery,galeria
dedicate,dedicar
pretend,fingir
tackle,enfrentar
castle,castelo
golf,golfe
celebration,celebração
embarrass,embaraçar
personnel,pessoal
boost,impulsionar
roughly,aproximadamente
pig,porco
extract,extrair
injure,ferir
fulfill,completar
mixture,mistura
announcement,anúncio
biological,biológico
praise,elogio
disagree,discordo
electric,elétrico
excess,excesso
depress,deprimir.
compose,compor
fancy,extravagante
continuous,contínuo
complexity,complexidade
friendship,amizade
stability,estabilidade
accomplish,concluir
comprise,compreender
holder,suporte
inquiry,investigação
weakness,fraqueza
tail,cauda
noun,substantivo
civilian,civil
weigh,pesar
racial,racial
tale,conto
evolve,evoluir
poetry,poesia
fortune,fortuna
potentially,potencialmente
mere,mero
gently,suavemente
server,servidor
sanction,sanção
guitar,violão
profession,profissão
pump,bombear
chamber,câmara
veteran,veterano
shine,brilhar
championship,campeonato
joy,alegria
stake,estaca
gear,engrenagem
remote,controlo remoto
entertain,entreter
reliable,confiável
strengthen,fortalecer
orange,laranja
rat,rato
cheek,bochecha
jail,cadeia
forever,para todo sempre
imagination,imaginação
bias,viés
possession,posse
chat,bate-papo
servant,servo
dramatically,dramaticamente
carbon,carbono
curious,curioso
structural,estrutural
neglect,negligência
compute,calcular
rear,traseira
ski,esqui
pot,Panela
revise,rever
grin,sorriso
snap,foto
stimulate,estimular
adjustment,ajustamento
moon,lua
printer,impressora
boom,estrondo
situate,situar
scan,Varredura
cheese,queijo
pride,orgulho
shell,Concha
grandmother,vovó
resign,demitir-se
supplement,suplemento
bunch,Monte
clothing,roupas
ceremony,cerimônia
barely,por muito pouco
firmly,firmemente
pipe,tubo
maker,criador
hopefully,esperançosamente
trigger,acionar
stomach,estômago
destruction,destruição
pregnant,grávida
craft,construir
intense,intenso
shelf,estante
logic,lógica
indication,indicação
subsequently,subseqüentemente
happiness,felicidade
presumably,presumivelmente
magic,Magia
interior,interior
menu,cardápio
mystery,mistério
pro,pró
greet,saudar
humor,humor
concrete,concreto
flag,bandeira
chocolate,chocolate
shelter,abrigo
guideline,Diretriz
cow,vaca
ownership,propriedade
bless,abençoar
summarize,resumir
knife,faca
trick,truque
wise,sábio
motivation,motivação
silly,boba
pray,rezar
attachment,acessório
strict,rigoroso
cooperation,cooperação
organic,orgânico
reckon,Contar. avaliar
uncle,tio
surprisingly,surpreendentemente
regardless,independentemente
coin,moeda
attraction,atração
athlete,atleta
darkness,Trevas
bite,morder
harbor,Porto
stir,mexer
filter,filtro
romantic,romântico
determination,determinação
tender,macio
tongue,língua
transportation,transporte
reasonably,razoavelmente
vessel,navio
piano,piano
envelope,envelope
slope,declive
golden,dourado
catalog,Catálogo
belt,cinto
attendance,comparecimento
storage,armazenar
pregnancy,gravidez
invent,inventar
controversial,controverso
horrible,horrível
potato,batata
ocean,oceano
lover,amante
uncertainty,incerteza
fiction,ficção
hint,dica
nowhere,em lugar nenhum
liquid,líquido
stranger,estranho
anxious,ansioso
fool,idiota
leap,salto
adventure,aventura
carpet,tapete
shade,sombra
portrait,retrato
hook,gancho
reflection,reflexão
qualification,qualificação
nerve,nervo
leather,couro
exhaust,escape
fragment,fragmento
wander,perambular
distant,distante
unite,unir
bell,Sino
grain,grão
monthly,por mês
altogether,completamente
differently,diferentemente
universe,universo
weekly,semanalmente
empire,Império
royal,real
fence,cerca
luxury,luxo
comedy,comédia
confusion,confusão
curtain,cortina
consume,consumir
stamp,carimbo
flexible,flexível
innocent,inocente
tent,barraca
shore,Costa
voluntary,voluntário
swear,xingar
genuine,genuíno
panic,pânico
sheep,ovelha
mayor,prefeito
gentle,□ Gentil
precise,preciso
raw,cru
wherever,onde quer que
refugee,refugiado
listener,ouvinte
weird,estranhas
substitute,substituto
rice,arroz
aunt,tia
excitement,excitação
fade,desaparecer
wipe,limpar
chase,perseguir
slice,fatiar
alongside,ao lado de.
suspend,suspender
tournament,torneio
autumn,outono
ugly,feio
hello,Olá
fortunate,afortunado
insure,garantir
lazy,preguiçoso
ashamed,envergonhado
hunger,fome
found,encontrado
thirst,sede
Monday,segunda-feira
Tuesday,terça-feira
Wednesday,quarta-feira
Thursday,quinta-feira
Friday,Sexta-feira
Saturday,sábado
Sunday,Domingo
January,Janeiro
February,fevereiro
March,marchar
April,abril
May,Poderia
June,junho
July,Julho
August,agosto
September,setembro
October,Outubro
November,novembro
December,dezembro
two,dois
three,três
four,Quatro.
five,cinco
six,seis
seven,Sete
eight,oito
nine,nove
ten,dez
eleven,onze
twelve,doze
thirteen,Treze
fourteen,quatorze
fifteen,quinze
sixteen,dezesseis
seventeen,dezessete
eighteen,dezoito
nineteen,dezenove
twenty,vinte
thirty,trinta
forty,quarenta
fifty,cinquenta
sixty,sessenta
seventy,setenta
eighty,oitenta
ninety,noventa
hundred,centenas
thousand,mil
million,milhão
billion,bilhão
trillion,trilhão
quadrillion,Quadrillion.
quintillion,quintilião.